M113,D,Večerka,,
M443,1444,D,Večerka,,
M388,3055,C,Večerka,,
M431,23; 27,D,Večerka,,
M426,144,C,Večerka,,
M153,270km; 3h/3h 45 min (auto/kamion),D,Večerka,,
M440,7,D,Večerka,,
M210,"P - 56g, Z - 40g",C,Večerka,,
M411,37,A,Večerka,,
M579,x=3 y=-2,A,Večerka,,
M158,∓√5/2,B,Večerka,,
M187,225,B,Večerka,, 
M60,3,A,Večerka,,
M398,19683,A,Večerka,,
M82,1,A,Večerka,,
M401,5/7,B,Večerka,,
M698,160m,B,Večerka,,
M481,266,B,Večerka,,
M479,"33,125",B,Večerka,,
M717,15,lepší formulace,A,Večerka,,
M53,243,,B,Večerka,,
M482,"53,75",,B,Večerka,,
M209,7,,C,Ammer,,
M429,"6,8",,C,Ammer,,
M386,29909,,D,Ammer,,
M435,"1,299",,C,Ammer,,
M416,"12, 24, 36, 48",,D,Ammer,,
M208,9,"zlepšit formulaci, výsledek na kolik číslic?",B,Ammer,,
M442,11,,B,Ammer,,
M221,18,,B,Ammer,,
M220,11,,B,Ammer,,
M219,±15,,B,Ammer,,
M218,8,,B,Ammer,,
M146,"2×15, 1×20, 15×30",úloha měla více řešení!,C,Ammer,,
M86,-2/3,,C,Ammer,,
M24,6,"fakt těžká, ale stačí pizzu řezat v rovině stolu (počet dílků se tak zvojnásobí)",D,Ammer,,
M150,(x-1)×(x-3),,B,Ammer,,
M414,"83,23","jak jsi to počítal? mně vychází něco jiného (83,23) než je ve výsledcích a než máš ty",C,Ammer,,
M93,382,,C,Ammer,,
M185,10939556,,B,Ammer,,
M644,13,,B,Ammer,,
F267,"chyták, nemá řešení",zadání? možná čtverec --> krychle?,C,Ammer,,
M407,30,změnit zadání (jsou tam editorské poznámky),B,Ammer,,
M348,-7/4,jak to můžeš dát jako A!?,C,Ammer,,
M646,12,,C,Ammer,,
M122,9a²-24ab+16b²,,B,Ammer,,
M643,27,,A,Ammer,,
F239,"15,23 minut",lehce nesrozumitelné zadání,změněno zadání - B,Ammer,,
F334,"882,9N",jaké jednotky? N/kN,A,Ammer,mají být Jouly,
M599,"1,08",,C,Ammer,,
F291,"11,772N",na kolik desetinných míst má být výsledek,C,Ammer,,
M638,9,,A,Ammer,,
M642,8,,A,Ammer,,
M571,±3,,A,Ammer,,
M1382,2/5,výsledek ve zlomku mebo desetinný zápis?,A,Ammer,,
M1376,-7,,A,Ammer,,
M1368,2/3,,A,Ammer,,
M601,0,,A,Ammer,,
M1375,3/8,zlomek nebo desetinný zápis?,A,Ammer,,
M1367,7.5 cm²,ZKONTROLOVAT zda se vytiskne obrázek!,A,Ammer,,
M195,"x=-3, y=1",,A,Ammer,,
M1201,1/2,,A,Ammer,,
M1204,rovnice nemá řešení,,A,Ammer,,
M1202,13940,Za hranou!!!,A,Ammer,,
M1422,9,,A,Ammer,,
M661,24000,,A,Ammer,,
M657,10,,A,Ammer,,
M1400,750,,A,Ammer,,
F1177,20,,A,Ammer,,
M1148,3034,úloha by měla být F ne M,A,Ammer,,
M1147,733,úloha by měla být F ne M,A,Ammer,,
M1195,x= -3,,B,Ammer,,
M1410,1kg,"dopsat tam, jestli zápis s jednotkou či ne",A,Ammer,,
M25,1806,,B,Ammer,,
F249,2927640J,,B,Ammer,,
M464,2,,C,Ammer,,
F98,2990,,C,Ammer,,
F1047,"t=20s, v(max)=18m/s",,B,Ammer,,
M79,26m,"upřesnit, jestli jdou oba (měli by)",B,Ammer,,
M204,"r=1, s=3",,B,Ammer,,
M576,"x=2, y=-1",,B,Ammer,,
M577,"x=7, y=5",,B,Ammer,,
M547,b=-1,,B,Ammer,,
M550,a=-8,,B,Ammer,,
M552,c=0,,B,Ammer,,
M342,x=-200,,B,Ammer,,
M207,"x=3, y=-2",,B,Ammer,,
M148,y=0.2,výsledek ve zlomku nebo deset. zápis?,B,Ammer,,
M143, x=(3±√69)/2,,B,Ammer,,
M410,x=(62±6√617)/224,má ten výsledek být tak divný?,C,Ammer,,
M206,"x=2, y=5",,B,Ammer,,
M575,"x=8, y=-9",,B,Ammer,,
M554,"x=1.2, y=2.3",výsledek ve zlomku nebo deset. zápis?,A,Ammer,,
M583,x=-0.5,výsledek ve zlomku nebo deset. zápis?,A,Ammer,,
M578,"x=5, y=3",,A,Ammer,,
M159,x=19/7,,A,Ammer,,
M477,1; 7; 9,,A,Ammer,,
M674,Vyhrál Coudy s 306 droidy,definovat formu zápisu odpovědi,A,Ammer,,
M109,35krát,,A,Ammer,,
M506,1/6,,A,Ammer,,
M505,1/5,,A,Ammer,,
M509,18,shoda přísudku s podmětem,A,Ammer,,
M1383,18 dkg cukru a 12 dkg másla,,A,Ammer,,
M156,"Andy 27g, Bára 21g",,A,Ammer,,
M503,1500,,A,Ammer,,
M589,14 dětí,,A,Ammer,,
M70,12,,A,Ammer,,
M475,všichni mají 4,definovat formu zápisu odpovědi,A,Ammer,,
M394,9 dimenzí,,B,Ammer,,
M474,1234 Mb,,B,Ammer,,
M115,přišel o 109964 vajec,,A,Ammer,,
M403,28.5 minut,,A,Ammer,,
M460,27 žáků,,A,Ammer,,
M155,139.13 l,,A,Ammer,,
M447,6.67 m²,,B,Ammer,,
M186,"6,5 cm",,B,Ammer,,
M627,108.2 cm,,A,Ammer,,
F1000,2 m/s,,A,Ammer,,
F289,500 m,,B,Ammer,,
F318,240 km/h,,A,Ammer,,
M164,x=2,,A,Večerka,,
M139,x=12,,A,Verner,,
M1411,beta=65,,B,Verner,,
M1130,,smazaná ,smazaná ,Verner,,
M490,jedna mezera osm mezera osm,,B,Verner,,
F1179,"37,5J",,A,Verner,,
F1004,"za 20s, urazí 100m","Zrychlení ještě nebrali, ovšem tu je to dost intuitivní",C,Verner,,
M707,120/7h,Nutno dodat výsledek uveďte v hodinách ve zlomku v základním tvaru,B,Verner,,
M126,6√6+2√30 cm,Výsledek by mohl vycházet hezčeji...,B,Verner,,
M169,30h,Chybí: výsledek uveďte v h,B,Verner,,
F1333,2.5m/s,,A,Ammer,,
F1334,3m/s,,A,Ammer,,
F1335,2m/s,,A,Ammer,,
F1336,3.5m/s,,A,Ammer,,
F1337,4m/s,,A,Ammer,,
F853,plíšek se potopí,,A,Ammer,,
M487,40%,,A,Ammer,,
F999,14m/s,,A,Ammer,,
F1000,2m/s,,A,Ammer,,
F1001,10m/s,,A,Ammer,,
F237,135648m,"pí se musí rovnat 3.14, s pí z kalkulačky je pak jiný desetinný výsledek",A,Ammer,,
M565,100 DC,"trojúhelník=pravítko, upravit zadání, výsledek s nebo bez DC?",A,Ammer,,
M549,0,"zadání přesahuje do vedlejší úlohy, nejsem si jistý výsledkem",B,Ammer,,
F967,294.3kJ,,A,Ammer,,
F952,"26,67 km/h","výsledek zaokrouhlit na kolik číslic, je to period. 6",B,Ammer,,
M1421,"pero je dražší o 13,5 Kč",nějak definovat zápis odpovědi,B,Ammer,,
X953,"803,32",wtf a X ==> M,C,Ammer,,
F247,81min,,C,Verner,,
F254,"11m/s, 3/4","Opravit časování+nutno dodat, že metro zpomalovalo rovnoměrně zrychleně/zpomaleně+zrychlení nebrali, opět lze ovšem užít selského rozumu",D,Verner,,
M1132,"a=5610 b=3740 c=9069,5",,C,Verner,,
M1362,"7,5",Úprava: Děda se HNED POTÉ dostal...,B,Verner,,
M1093,"19, 46, 81",,D,Verner,,
M1086,102,Ne moc kvalitní náčrtek(možná záměr?),B,Verner,,
M1131,"9,58",Nutno uvést: Výledek uveďte v s,B,Verner,,
M1083,1666,,B,Verner,,
M1143,54 nábojů denně,,B,Verner,,
M1146,2 616 250,,A,Máťa,,
M1420,"14/3, 7/3",,A,Verner,,
F1257,"40m/s, za 4s",,A,Verner,,
M1124,112,"Moc jednoduché(tak 2.třída ze základky)  - no, nevim jestli ve 2. třídě vědí co je to pí a stejně jsi to vypočítal špatně",A,Verner,,
F1200,2500J,,A,Verner,,
F1322,1/1,,A,Máťa,,
M62,"1,8",,B,Máťa,,
F956,"60,58J",,B,Verner,,
F231,"za 30min, uletí 300km",Nutno specifikovat: Za jak dlouho od přeletu prvního letadla atd.,A,Verner,,
